hours_relax_per_day,mental_health,hours_worked_per_week,degree,marijuana
4,6,45,BACHELOR,LEGAL
0,0,40,HIGH SCHOOL,NOT LEGAL
2,5,50,BACHELOR,NOT LEGAL
5,0,40,HIGH SCHOOL,NOT LEGAL
2,15,89,BACHELOR,NOT LEGAL
3,30,25,JUNIOR COLLEGE,LEGAL
4,0,20,BACHELOR,LEGAL
6,0,20,GRADUATE,LEGAL
5,0,40,GRADUATE,LEGAL
3,5,40,BACHELOR,LEGAL
3,5,35,GRADUATE,LEGAL
3,0,60,GRADUATE,LEGAL
2,10,40,HIGH SCHOOL,LEGAL
5,0,50,HIGH SCHOOL,LEGAL
0,0,32,BACHELOR,LEGAL
2,15,46,LESS THAN HIGH SCHOOL,NOT LEGAL
2,0,36,BACHELOR,NOT LEGAL
4,0,30,HIGH SCHOOL,NOT LEGAL
3,0,40,BACHELOR,NOT LEGAL
3,0,36,JUNIOR COLLEGE,NOT LEGAL
3,0,40,BACHELOR,NOT LEGAL
2,0,48,HIGH SCHOOL,LEGAL
6,3,35,GRADUATE,LEGAL
5,0,20,JUNIOR COLLEGE,LEGAL
8,30,50,JUNIOR COLLEGE,LEGAL
8,0,35,HIGH SCHOOL,NOT LEGAL
1,0,20,JUNIOR COLLEGE,LEGAL
4,0,40,BACHELOR,NOT LEGAL
2,15,35,HIGH SCHOOL,NOT LEGAL
2,0,30,LESS THAN HIGH SCHOOL,NOT LEGAL
4,0,35,LESS THAN HIGH SCHOOL,NOT LEGAL
4,0,9,GRADUATE,NOT LEGAL
2,0,65,BACHELOR,NOT LEGAL
3,1,50,GRADUATE,NOT LEGAL
4,0,40,BACHELOR,NOT LEGAL
4,0,24,HIGH SCHOOL,LEGAL
5,4,30,HIGH SCHOOL,NOT LEGAL
1,0,30,LESS THAN HIGH SCHOOL,NOT LEGAL
5,1,40,HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,LEGAL
3,0,30,LESS THAN HIGH SCHOOL,NOT LEGAL
8,0,40,LESS THAN HIGH SCHOOL,NOT LEGAL
4,2,50,GRADUATE,LEGAL
1,2,50,LESS THAN HIGH SCHOOL,LEGAL
6,1,40,HIGH SCHOOL,LEGAL
2,0,60,HIGH SCHOOL,NOT LEGAL
12,0,20,HIGH SCHOOL,LEGAL
1,3,40,GRADUATE,LEGAL
4,0,28,LESS THAN HIGH SCHOOL,NOT LEGAL
2,0,40,BACHELOR,LEGAL
2,0,40,HIGH SCHOOL,LEGAL
5,15,29,HIGH SCHOOL,NOT LEGAL
4,0,40,HIGH SCHOOL,LEGAL
2,5,25,GRADUATE,LEGAL
8,0,55,BACHELOR,NOT LEGAL
4,1,30,HIGH SCHOOL,NOT LEGAL
4,30,25,HIGH SCHOOL,LEGAL
1,0,60,HIGH SCHOOL,LEGAL
4,0,44,GRADUATE,NOT LEGAL
6,0,38,HIGH SCHOOL,LEGAL
5,0,50,HIGH SCHOOL,LEGAL
1,14,75,HIGH SCHOOL,NOT LEGAL
2,0,27,HIGH SCHOOL,NOT LEGAL
1,0,40,LESS THAN HIGH SCHOOL,LEGAL
5,4,30,JUNIOR COLLEGE,NOT LEGAL
8,29,45,HIGH SCHOOL,LEGAL
1,2,52,HIGH SCHOOL,LEGAL
5,0,40,BACHELOR,NOT LEGAL
4,2,50,BACHELOR,LEGAL
1,3,45,BACHELOR,LEGAL
2,4,52,JUNIOR COLLEGE,NOT LEGAL
3,10,70,BACHELOR,LEGAL
6,0,20,GRADUATE,LEGAL
5,0,40,GRADUATE,LEGAL
3,0,60,BACHELOR,NOT LEGAL
8,0,50,HIGH SCHOOL,LEGAL
2,0,40,BACHELOR,NOT LEGAL
4,0,9,GRADUATE,LEGAL
4,0,30,HIGH SCHOOL,LEGAL
2,14,25,BACHELOR,LEGAL
5,0,25,LESS THAN HIGH SCHOOL,NOT LEGAL
5,0,37,GRADUATE,LEGAL
5,2,45,BACHELOR,NOT LEGAL
0,7,30,BACHELOR,LEGAL
7,0,9,BACHELOR,LEGAL
4,0,16,BACHELOR,LEGAL
4,0,41,BACHELOR,NOT LEGAL
2,5,50,HIGH SCHOOL,LEGAL
3,25,42,HIGH SCHOOL,LEGAL
2,0,30,BACHELOR,LEGAL
0,15,40,JUNIOR COLLEGE,LEGAL
1,14,40,BACHELOR,NOT LEGAL
2,0,40,HIGH SCHOOL,NOT LEGAL
1,3,40,BACHELOR,LEGAL
3,0,54,JUNIOR COLLEGE,NOT LEGAL
2,2,35,GRADUATE,LEGAL
8,10,10,HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,LEGAL
1,2,38,HIGH SCHOOL,NOT LEGAL
6,0,8,GRADUATE,LEGAL
3,15,38,HIGH SCHOOL,NOT LEGAL
5,0,50,GRADUATE,LEGAL
5,5,48,BACHELOR,LEGAL
4,0,46,BACHELOR,NOT LEGAL
3,3,45,BACHELOR,LEGAL
8,0,40,BACHELOR,LEGAL
6,0,32,BACHELOR,LEGAL
3,2,34,JUNIOR COLLEGE,NOT LEGAL
3,0,50,HIGH SCHOOL,NOT LEGAL
5,15,3,BACHELOR,LEGAL
4,1,60,GRADUATE,LEGAL
1,15,40,HIGH SCHOOL,NOT LEGAL
2,15,22,HIGH SCHOOL,LEGAL
5,0,32,HIGH SCHOOL,LEGAL
3,2,40,BACHELOR,LEGAL
2,0,48,LESS THAN HIGH SCHOOL,NOT LEGAL
6,0,20,LESS THAN HIGH SCHOOL,LEGAL
2,4,40,HIGH SCHOOL,LEGAL
4,30,40,HIGH SCHOOL,LEGAL
4,0,37,HIGH SCHOOL,LEGAL
3,0,40,HIGH SCHOOL,NOT LEGAL
5,0,44,JUNIOR COLLEGE,LEGAL
4,1,9,LESS THAN HIGH SCHOOL,NOT LEGAL
1,0,40,HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,NOT LEGAL
8,0,20,HIGH SCHOOL,NOT LEGAL
4,0,50,BACHELOR,NOT LEGAL
12,2,40,GRADUATE,LEGAL
3,0,42,LESS THAN HIGH SCHOOL,LEGAL
7,0,20,GRADUATE,LEGAL
2,6,60,HIGH SCHOOL,NOT LEGAL
2,15,50,JUNIOR COLLEGE,LEGAL
2,0,55,HIGH SCHOOL,LEGAL
1,5,52,BACHELOR,LEGAL
6,0,40,HIGH SCHOOL,NOT LEGAL
3,14,40,HIGH SCHOOL,NOT LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
6,0,40,LESS THAN HIGH SCHOOL,NOT LEGAL
3,3,30,HIGH SCHOOL,NOT LEGAL
1,30,60,HIGH SCHOOL,NOT LEGAL
4,0,40,BACHELOR,NOT LEGAL
0,30,40,HIGH SCHOOL,NOT LEGAL
4,0,45,HIGH SCHOOL,NOT LEGAL
3,10,9,LESS THAN HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,LEGAL
3,2,42,HIGH SCHOOL,NOT LEGAL
2,30,40,HIGH SCHOOL,NOT LEGAL
7,0,45,HIGH SCHOOL,LEGAL
3,0,65,BACHELOR,LEGAL
2,30,60,LESS THAN HIGH SCHOOL,LEGAL
5,7,67,HIGH SCHOOL,NOT LEGAL
5,1,40,BACHELOR,NOT LEGAL
5,0,40,HIGH SCHOOL,NOT LEGAL
5,0,40,LESS THAN HIGH SCHOOL,LEGAL
1,7,9,HIGH SCHOOL,LEGAL
3,7,36,HIGH SCHOOL,LEGAL
4,0,30,BACHELOR,LEGAL
8,0,9,LESS THAN HIGH SCHOOL,NOT LEGAL
1,0,58,LESS THAN HIGH SCHOOL,NOT LEGAL
2,0,30,LESS THAN HIGH SCHOOL,NOT LEGAL
3,5,40,BACHELOR,LEGAL
6,3,38,GRADUATE,NOT LEGAL
2,0,50,GRADUATE,NOT LEGAL
1,3,40,GRADUATE,NOT LEGAL
2,1,10,BACHELOR,NOT LEGAL
5,2,55,GRADUATE,LEGAL
6,0,40,HIGH SCHOOL,LEGAL
2,0,50,GRADUATE,NOT LEGAL
4,10,45,HIGH SCHOOL,LEGAL
5,3,40,GRADUATE,LEGAL
1,10,89,HIGH SCHOOL,LEGAL
5,0,25,HIGH SCHOOL,NOT LEGAL
1,3,43,HIGH SCHOOL,LEGAL
5,0,60,HIGH SCHOOL,NOT LEGAL
2,2,40,BACHELOR,NOT LEGAL
5,0,60,BACHELOR,LEGAL
3,5,55,GRADUATE,LEGAL
0,5,40,HIGH SCHOOL,LEGAL
5,0,54,GRADUATE,NOT LEGAL
5,30,20,LESS THAN HIGH SCHOOL,NOT LEGAL
0,0,42,HIGH SCHOOL,LEGAL
5,0,70,LESS THAN HIGH SCHOOL,NOT LEGAL
1,2,40,HIGH SCHOOL,LEGAL
6,5,15,HIGH SCHOOL,NOT LEGAL
1,0,40,GRADUATE,LEGAL
0,0,45,BACHELOR,NOT LEGAL
4,0,40,HIGH SCHOOL,LEGAL
3,2,9,HIGH SCHOOL,NOT LEGAL
2,3,30,HIGH SCHOOL,LEGAL
5,2,40,BACHELOR,LEGAL
4,5,40,HIGH SCHOOL,LEGAL
2,4,9,JUNIOR COLLEGE,NOT LEGAL
4,3,48,HIGH SCHOOL,NOT LEGAL
4,0,30,GRADUATE,NOT LEGAL
1,0,40,BACHELOR,LEGAL
2,0,54,HIGH SCHOOL,LEGAL
2,5,50,GRADUATE,NOT LEGAL
5,0,40,BACHELOR,LEGAL
0,0,42,LESS THAN HIGH SCHOOL,NOT LEGAL
3,2,42,BACHELOR,NOT LEGAL
5,0,40,LESS THAN HIGH SCHOOL,LEGAL
3,0,40,HIGH SCHOOL,LEGAL
7,30,6,LESS THAN HIGH SCHOOL,NOT LEGAL
3,7,60,HIGH SCHOOL,LEGAL
14,15,4,HIGH SCHOOL,NOT LEGAL
1,20,47,HIGH SCHOOL,NOT LEGAL
2,0,18,BACHELOR,NOT LEGAL
2,30,60,HIGH SCHOOL,LEGAL
4,5,45,HIGH SCHOOL,LEGAL
