id,pokemon,species_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,color_1,color_2,color_f,egg_group_1,egg_group_2,url_icon,generation_id,url_image
10034,charizard-mega-x,6,1.7,110.5,285,fire,dragon,78,130,111,130,85,100,#F08030,#7038F8,#D06E60,monster,dragon,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10034.png
679,honedge,679,0.8,2,65,steel,ghost,45,80,100,35,37,28,#B8B8D0,#705898,#A6A0C2,mineral,NA,//archives.bulbagarden.net/media/upload/b/be/679MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/679.png
129,magikarp,129,0.9,10,40,water,NA,20,10,55,15,20,80,#6890F0,NA,NA,water2,dragon,//archives.bulbagarden.net/media/upload/8/85/129MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/129.png
10128,lurantis-totem,754,1.5,58,168,grass,NA,70,105,90,80,90,45,#78C850,NA,NA,plant,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10128.png
509,purrloin,509,0.4,10.1,56,dark,NA,41,50,37,50,37,66,#705848,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/4/4f/509MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/509.png
471,glaceon,471,0.8,25.9,184,ice,NA,65,60,110,130,95,65,#98D8D8,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/3/30/471MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/471.png
299,nosepass,299,1,97,75,rock,NA,30,45,135,45,90,30,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/6/65/299MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/299.png
270,lotad,270,0.5,2.6,44,water,grass,40,30,30,40,50,30,#6890F0,#78C850,#6B9DC9,water1,plant,//archives.bulbagarden.net/media/upload/1/18/270MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/270.png
187,hoppip,187,0.4,0.5,50,grass,flying,35,35,40,35,55,50,#78C850,#A890F0,#83BA76,fairy,plant,//archives.bulbagarden.net/media/upload/b/b3/187MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/187.png
307,meditite,307,0.6,11.2,56,fighting,psychic,30,40,55,40,55,60,#C03028,#F85888,#CD393F,humanshape,NA,//archives.bulbagarden.net/media/upload/1/1a/307MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/307.png
597,ferroseed,597,0.6,18.8,61,grass,steel,44,50,91,24,86,10,#78C850,#B8B8D0,#87C46F,plant,mineral,//archives.bulbagarden.net/media/upload/b/b2/597MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/597.png
277,swellow,277,0.7,19.8,159,normal,flying,60,85,60,75,50,125,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/6/65/277MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/277.png
10072,steelix-mega,208,10.5,740,214,steel,ground,75,125,230,55,95,30,#B8B8D0,#E0C068,#C1B9B6,mineral,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10072.png
494,victini,494,0.4,4,270,psychic,fire,100,100,100,100,100,100,#F85888,#F08030,#F66172,no-eggs,NA,//archives.bulbagarden.net/media/upload/b/b9/494MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/494.png
330,flygon,330,2,82,234,ground,dragon,80,100,80,80,80,100,#E0C068,#7038F8,#C49F8A,bug,NA,//archives.bulbagarden.net/media/upload/e/ee/330MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/330.png
775,komala,775,0.4,19.9,168,normal,NA,65,115,65,75,95,65,#A8A878,NA,NA,ground,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/775.png
10039,kangaskhan-mega,115,2.2,100,207,normal,NA,105,125,100,60,100,100,#A8A878,NA,NA,monster,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10039.png
591,amoonguss,591,0.6,10.5,162,grass,poison,114,85,70,85,80,30,#78C850,#A040A0,#81A763,plant,NA,//archives.bulbagarden.net/media/upload/e/e7/591MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/591.png
725,litten,725,0.4,4.3,64,fire,NA,45,65,40,60,40,70,#F08030,NA,NA,ground,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/725.png
37,vulpix,37,0.6,9.9,60,fire,NA,38,41,40,50,65,65,#F08030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/0/09/037MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/037.png
105,marowak,105,1,45,149,ground,NA,60,80,110,50,80,45,#E0C068,NA,NA,monster,NA,//archives.bulbagarden.net/media/upload/2/2f/105MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/105.png
729,brionne,729,0.6,17.5,147,water,NA,60,69,69,91,81,50,#6890F0,NA,NA,water1,ground,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/729.png
10076,metagross-mega,376,2.5,942.9,315,steel,psychic,80,145,150,105,110,110,#B8B8D0,#F85888,#C7A0BE,mineral,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10076.png
485,heatran,485,1.7,430,270,fire,steel,91,90,106,130,106,77,#F08030,#B8B8D0,#E28D56,no-eggs,NA,//archives.bulbagarden.net/media/upload/9/9e/485MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/485.png
677,espurr,677,0.3,3.5,71,psychic,NA,62,48,54,63,60,68,#F85888,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/d/dc/677MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/677.png
802,marshadow,802,0.7,22.2,120,fighting,ghost,90,125,80,90,90,125,#C03028,#705898,#AC3943,no-eggs,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/802.png
10135,minior-violet-meteor,774,0.3,40,154,rock,flying,60,60,100,60,100,60,#B8A038,#A890F0,#B49C64,mineral,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10135.png
382,kyogre,382,4.5,352,302,water,NA,100,100,90,150,140,90,#6890F0,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/9/95/382MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/382.png
601,klinklang,601,0.6,81,234,steel,NA,60,100,115,70,85,90,#B8B8D0,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/2/26/601MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/601.png
801,magearna,801,1,80.5,120,steel,fairy,80,95,115,130,115,65,#B8B8D0,#EE99AC,#C5B0C7,no-eggs,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/801.png
10050,blaziken-mega,257,1.9,52,284,fire,fighting,80,160,80,130,80,100,#F08030,#C03028,#E46C2E,ground,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10050.png
326,grumpig,326,0.9,71.5,165,psychic,NA,80,45,65,90,110,80,#F85888,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/5/53/326MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/326.png
10133,minior-blue-meteor,774,0.3,40,154,rock,flying,60,60,100,60,100,60,#B8A038,#A890F0,#B49C64,mineral,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10133.png
